Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
5,Star Wars: Episode IX - The Rise of Skywalker,-,-,-,"$124,496,308","4,406","$515,202,542",Dec 20,Walt Disney Studios Motion Pictures,false
14,Frozen II,-,-,-,"$47,228,896","4,440","$477,373,578",Nov 22,Walt Disney Studios Motion Pictures,false
76,Joker,-,-,-,"$1,678,800","4,374","$335,451,311",Oct 4,Warner Bros.,false
4,Jumanji: The Next Level,-,-,-,"$124,736,710","4,227","$320,314,960",Dec 13,Sony Pictures Releasing,false
104,Coco,-,-,-,"$734,000","3,987","$210,460,015",Nov 22,Walt Disney Studios Motion Pictures,false
1,Bad Boys for Life,-,-,-,"$204,417,855","3,775","$206,305,244",Jan 17,Sony Pictures Releasing,false
13,Knives Out,-,-,-,"$49,651,655","3,461","$165,363,234",Nov 27,Lionsgate Films,false
2,1917,-,-,-,"$157,901,466","3,987","$159,227,644",Dec 25,Universal Pictures,false
3,Sonic the Hedgehog,-,-,-,"$146,066,470","4,198","$148,974,665",Feb 14,Paramount Pictures,false
78,Once Upon a Time... in Hollywood,-,-,-,"$1,425,760","3,659","$142,502,728",Jul 26,Sony Pictures Releasing,false
39,Ford v Ferrari,-,-,-,"$10,427,913","3,746","$117,624,357",Nov 15,Twentieth Century Fox,false
115,Maleficent: Mistress of Evil,-,-,-,"$634,868","3,820","$113,929,605",Oct 18,Walt Disney Studios Motion Pictures,false
8,Little Women,-,-,-,"$70,508,087","3,308","$108,101,214",Dec 25,Sony Pictures Releasing,false
407,Hustlers,-,-,-,"$2,955","3,525","$104,963,598",Sep 13,STX Entertainment,false
129,The Addams Family,-,-,-,"$528,320","4,107","$100,044,905",Oct 11,United Artists Releasing,false
430,Space Station 3D,-,-,-,"$1,394",64,"$93,383,953",Apr 19,IMAX,false
213,Alita: Battle Angel,-,-,-,"$128,000","3,802","$85,838,210",Feb 14,Twentieth Century Fox,false
6,Birds of Prey,-,-,-,"$84,158,461","4,236","$84,158,461",Feb 7,Warner Bros.,false
7,Dolittle,-,-,-,"$77,047,065","4,155","$77,047,065",Jan 17,Universal Pictures,false
187,Zombieland: Double Tap,-,-,-,"$192,926","3,468","$73,123,082",Oct 18,Sony Pictures Releasing,false
9,The Invisible Man,-,-,-,"$64,914,050","3,636","$70,410,000",Feb 28,Universal Pictures,false
15,Spies in Disguise,-,-,-,"$37,433,325","3,502","$66,757,013",Dec 25,Twentieth Century Fox,false
10,The Call of the Wild,-,-,-,"$62,342,368","3,914","$62,342,368",Feb 21,20th Century Studios,false
52,A Beautiful Day in the Neighborhood,-,-,-,"$4,997,062","3,491","$61,704,055",Nov 22,Sony Pictures Releasing,false
11,Onward,-,-,-,"$61,555,145","4,310","$61,555,145",Mar 6,Walt Disney Studios Motion Pictures,false
267,Abominable,-,-,-,"$37,125","4,248","$60,716,390",Sep 27,Universal Pictures,false
18,The Croods: A New Age,-,-,-,"$32,334,280","2,211","$58,568,815",Nov 25,Universal Pictures,false
12,Tenet,-,-,-,"$57,235,189","2,930","$58,504,105",Sep 3,Warner Bros.,false
120,Midway,-,-,-,"$567,638","3,242","$56,846,802",Nov 8,Lionsgate Films,false
19,Parasite,-,-,-,"$30,736,060","2,001","$53,369,749",Oct 11,Neon,false
369,Hubble,-,-,-,"$6,068",151,"$52,522,904",Mar 19,Warner Bros.,false
21,Uncut Gems,-,-,-,"$25,789,956","2,686","$50,023,780",Dec 13,A24,false
23,Wonder Woman 1984,-,-,-,"$23,009,311","2,218","$46,801,036",Dec 25,Warner Bros.,false
392,Deep Sea,-,-,-,"$4,205",47,"$46,412,757",Mar 3,Warner Bros.,false
161,Playing with Fire,-,-,-,"$300,460","3,185","$44,451,847",Nov 8,Paramount Pictures,false
62,Queen & Slim,-,-,-,"$3,089,365","1,715","$43,808,310",Nov 27,Universal Pictures,false
127,Harriet,-,-,-,"$534,455","2,186","$43,082,155",Nov 1,Focus Features,false
16,The Gentlemen,-,-,-,"$36,471,397","2,675","$36,471,795",Jan 24,STX Entertainment,false
349,Under the Sea 3D,-,-,-,"$9,462",108,"$36,262,926",Feb 13,Warner Bros.,false
17,Just Mercy,-,-,-,"$35,733,621","2,457","$36,001,502",Dec 25,Warner Bros.,false
272,Last Christmas,-,-,-,"$34,300","3,454","$35,150,750",Nov 8,Universal Pictures,false
37,Jojo Rabbit,-,-,-,"$12,311,180","1,173","$33,370,906",Oct 18,-,false
34,Bombshell,-,-,-,"$13,644,923","1,721","$31,762,808",Dec 13,Lionsgate Films,false
265,Doctor Sleep,-,-,-,"$38,615","3,855","$31,581,712",Nov 8,Warner Bros.,false
100,21 Bridges,-,-,-,"$792,488","2,665","$28,539,757",Nov 22,STX Entertainment,false
20,Fantasy Island,-,-,-,"$26,441,782","2,784","$27,309,289",Feb 14,Sony Pictures Releasing,false
48,Cats,-,-,-,"$7,196,675","3,380","$27,166,770",Dec 20,Universal Pictures,false
297,Born to Be Wild,-,-,-,"$24,051",208,"$25,978,556",Apr 8,Warner Bros.,false
285,Countdown,-,-,-,"$27,397","2,675","$25,621,766",Oct 25,STX Entertainment,false
163,Judy,-,-,-,"$296,343","1,627","$24,313,888",Sep 27,Roadside Attractions,false
22,The New Mutants,-,-,-,"$24,044,274","2,754","$23,852,659",Aug 28,20th Century Studios,false
54,Richard Jewell,-,-,-,"$4,523,325","2,502","$22,345,542",Dec 13,Warner Bros.,false
